title,engilsh_meaning,description,,
싫테 ,dislike terror,유튜브에 싫어요를 누르자,,
슬세권 ,hyperlocal,편한 복장으로 편의시설을 이용할 수 있는 주거 지역,,
갑통알 ,"Looking at my bank account all of a sudden, I need to work part-time.",갑자기 통장을 보니 알바해야겠다,,
설참 ,explantion reference,설명 참고,,
나심비 ,good for satisfaction,만족감을 위해 좋다,,
불소 ,fiery communication,불타는 소통,,
제곧내 ,EOM,EOM,,
횰로 ,alone YOLO,욜로 나홀로,,
닉차 ,nickname discrimination,닉네임 차별,,
시발비용 ,retail therapy,소매 요법,,
욘족,young and wealthy but normal,젋고 건강하지만 정상,,
스세권 ,starbucks area,스타벅스가 가까이 있는 생활권,,
무지개매너 ,rude,무지하게 매너가 없는 사람,,
얼죽아 ,"I only drink iced coffee, even when it’s freezing",얼어 죽어도 아이스 아메리카노,,
멍청비용 ,stupid waste,멍청하게 비용을 지불하다,,
N뚀 ,star,별,,
노멀 크러시 ,normal crush,노멀 크러시,,
아만추 ,pursue an anyone meeting,아무나 만남 추구,,
대유잼 ,hilarious,엄청 재미있는,,
#G ,Father-in-law,시아버지,,
개룡남 ,Self-Made Millionaire,자수성가한 백만장자,,
82피플,selling people,판매하는 사람들,,
할많하않 ,bit my tongue,혀를 깨물다,,
시조새파킹 ,old story,오래 된 이야기,,
푸라면 ,Shin Ramyun,신라면,,
인만추 ,pursue an artificial meeting,인위적인 만남 추구,,
졋잘싸 ,narrow defeat,졌지만 잘 싸웠다,,
톤어그로 ,dosen’t fit your skin tone,톤어그로,,
뚝배기 ,head,머리,,
낫닝겐 ,goddess,사람이 아님,,
고답이 ,stuffy person,답답한 사람,,
머박 ,awesome,대박,,
머장 ,captain,대장,,
편세권 ,Convenience store area,편의점이 가까이 있는 생활권,,
현타 ,reality check,현실 자각 타임,,
일생가? ,Is it possible for you to live your daily life?,일상생활 가능?,,
할만하않 ,bit my tongue,혀를 깨물다,,
사이다 ,Justice happened.,속이 시원하다,,
0개국어,semilingual,하나의 언어도 제대로 하지못함,,
JMTGR ,so delicious,엄청 맛있다,,
핑프 ,never raise a finger,손가락 하나 들지도 않음,,
믿거페 ,Trust and filter Facebook,믿고 거르는 페이스북,,
랜선 회초리질 ,online whipping,랜선 회초리질,,
관크 ,obstruct the view,관람을 방해,,
머전팡역시 ,Daejeon Metropolitan City,Daejeon Metropolitan City,,
세종머앟 ,King Sejong,세종대왕,,
워라벨 ,Work-Life Balance,워크 라이프 벨런스,,
호캉스 ,Staycation,Staycation,,
최애 ,bias,bias,,
난회골혜,What's this?,이건 뭐야?,,
반유 ,informal speech maintenance,반말모드 유지,,
정모 ,a regular meeting,정기 모임,,
떡상 ,skyrocket,skyrocket,,
더럽 ,The love,사랑해,,
영고 ,eternal pain,영원히 고통받는,,
금턴 ,,인턴도 하기 어려운 시대,,
스몸비 ,Smartphone Zombie,스마트폰좀비,,
교튽 ,principal,교장,,
존버 ,HODL,HODL,,
팩폭 ,hit the nail on the head,정곡을 찌르다,,
커엽 ,cute,귀엽다,,
소확행 ,small but certain happiness for myself,소소하지만 확실한 행복,,
흔틈 ,under cover of confusion,혼란을 틈타,,
궁물 ,ask a question,궁금한 것을 물어보다,,
반모 ,Informal mode,반말 모드,,
OOTD ,OOTD,OOTD,,
휘소가치 ,,휘발적 희소가치,,
솔까말 ,to be honest,솔직히 말해서,,
아바라 ,Iced vanilla latte,아이스 바닐라 라떼,,
문찐 ,nerd,nerd,,
머구 ,Daegu,대구,,
이거레알 ,no cap,no cap,,
TMI ,TMI,TMI,,
뽀시래기 ,adorable,사랑스러운,,
빠태 ,a quick change of attitude,빠르게 태도 전환,,
티本 ,Japan,일본,,
혼코,Coin singing room alone,혼자 코인 노래방,,
시강 ,extortion of sight,시선강탈,,
얼죽코 ,I'll wear a coat even if I freeze to death.,얼어 죽어도 코트,,
글설리 ,Exciting comments,재미있는 댓글,,
아싸 ,unsociable,사회성 없는 사람,,
렬루 ,real,진짜로,,
먹금 ,Don't pay attention.,주의를 기울이지 마세요,,
삼귀,a close relationship,가까운 사이,,
ㅇㅈ ,admit,인정,,
행복회로 ,have a happy imagination.,행복한 상상,,
댕댕이 ,dog,강아지,,
무민세대 ,Generation who wants to take a meaningless break,의미없는 휴식을 취하고 싶은 세대,,
복세편살 ,Let's live comfortable world,복잡한 세상 편하게 살자,,
가심비 ,good for satisfaction,가격말고 마음의 만족,,
JMT ,out of this world,아주 맛있다,,
올인빌 ,All in Village,올 인 빌리지,,
졌잘싸 ,narrow defeat,졌지만 잘 싸웠다,,
어그로 ,aggravation,도발,,
떡락 ,drop,떨어지다,,
낄끼빠빠 ,didn’t pass the vibe check,분위기 파악,,
불편러 ,SJW,SJW,,
롬곡옾눞 ,I bawled my eyes out.,폭풍눈물,,
케바케 ,It depends.,케이스에 따라서 다르다,,
누물보 ,Who asked?,누구 물어본 사람?,,
스라밸 ,Study-life balance,스터디 라이프 밸런스,,
법블레스유 ,The law has lived you.,법이 널 살렸다,,
마상 ,broken heart,마음의 상처,,
맥세권 ,McDonald’s area,맥도날드가 있는 주거지역,,
믿거 ,,무조건 거름,,
만반잘부 ,Nice to meet you,만나서 반가워 잘 부탁해,,
꽃길 ,bed of roses,꽃길,,
인싸 ,social,사회성 있는 사람,,
당신은 도덕책 ,what the hell are you,당신은 도대체...,,
엄근진 ,stern,엄격하고 진지한,,
뇌피셜 ,anecdata,일화,,
말넘심 ,That’s a harsh thing to say.,말이 너무 심하다,,
좋못사 ,I’m in love with you.,좋아함을 넘어 사랑함,,
자만추 ,pursue a natural meeting,자연스러운 만남 추구,,
존모 ,polite speech mode,존댓말 모드,,
고인물 ,pro,분야에서 높은 경지에 이른 사람,,
발컨 ,newb,신참,,
고답 ,stuffy person,답답한 사람,,
주부애 ,adorable,과한 애교,,
번달번줌 ,,누군가 휴대폰번호를 달라하면 휴대폰번호를 주다,,
혼코노 ,Coin singing room alone,혼자 코인 노래방,,
이생망 ,Thie life is doomed,이번 생은 망했어,,
혼바비언 ,eaten alone,혼자 밥을 먹는 사람,,
머쓱타드 ,feeling awkward,머쓱하다,,
잡학피디아 ,Miscellaneouspedia,잡다한 지식 백화사전,,
보배 ,portable charger,보조 배터리,,
와우내 ,wow,와우,,
성덕 ,Successful fan,성공한 팬,,
제곧 ,EOM,EOM,,
ㅂㅂㅂㄱ ,Can’t argue with that.,반박불가,,
버카충 ,Charging the bus card,버스 카드 충전,,
가성비 ,,가격 대비 성능비,,
남아공 ,,남아서 공부나 해,,
톤그로 ,dosen’t fit your skin tone,피부톤이 맞지 않다,,
오놀아놈 ,"Oh, you know how to play?",오~좀 놀 줄 아는 놈인데?,,
편도 ,,편의점 도시락,,
혼틈 ,a confused interval,혼란스러울 때 틈을 노림,,
갑분싸 ,awkward,갑자기 분위기 싸해짐,,
사바사 ,person by person,사람에 따라서 다르다,,
일코노미 ,enjoy one's own consumer life,혼자만의 소비생활을 즐기는 사람,,
전차스 ,Electrical Wave Blocking Sticker,전기파 차단 스티커,,
일생가 ,Can you live your daily life?,일상 생활 가능?,,
별다줄 ,shorten everything.,별걸 다 줄인다,,
괄도네넴띤 ,Paldo Bibimmen,팔도비빔면,,
팬아저 ,"Even if I'm not a fan, it's worth saving the picture.",팬이 아니어도 저장할 가치가 있는,,
댓망진창 ,a mess of comments,엉망진창인 댓글,,
자낳괴 ,The monster born of capitalism,자본주의가 낳은 괴물,,
좋페 ,"If you click 'like', I am going to send you facebook message.",좋아요를 눌러주면 페이스북 메시지를 보내겠다,,
각인데,,할거 같은데,,
갑분교 ,The mood suddenly changes as if we met the principal,갑자기 분위기 교장선생님,,
롬곡 ,I'm crying,눈물,,
꾸안꾸 ,Effortless look,Effortless look,,
우유남 ,Alpha male,Alpha male,,
싫존주의 ,Agree to disgree,싫다는 것을 존중하는 사람,,
연서복 ,a returning student who is not good at dating,연애에 서툰 복학생,,
띵언 ,life quotes,인생 인용구,,
배린이 ,Game Battleground beginner,배틀그라운드 초보자,,
알잘딱깔센 ,nailed it,알아서 잘 딱 깔끔하고 센스있게 ,,
공카 ,Idol’s official fan cafe,공식 카페,,
수그리족 ,smartphone addiction,스마트폰 중독자,,
오저치고 ,Do you want to go to chicken tonight?,오늘 저녁 치킨 먹자,,
니치 ,niche,niche,,
쌉파서블,It's very possible.,매우 가능하다,,
안물안궁,Don't know don’t care,안 물어봤고 안궁금해,,
된찌,bean paste stew,된장찌개,,
녹방,recorded show,녹화방송,,
이벤,event,이벤트,,
아닥,shut up,아가리 닥쳐,,
깜놀,FREAK OUT!!!,깜짝 놀라다,,
꼰대가르송,boomer,Boomer,,
막내온탑,Maknae on top,막내지만 윗사람보다 강함,,
이학망,This semester is ruined,이번 학기는 망함,,
남소,set me up with men,남자 소개,,
즐겜,gg,승부 상관없이 재미만을 위한 게임을 하다,,
빡겜,No mercy from now,이기기 위해 열심히 집중해서 게임하다,,
공방,Live show,공개방송,,
엘베,Elevator,엘리베이터,,
교카,Transportation card,교통카드,,
문상,Gift card,문화상품권,,
지못미,Sorry I could not protect you.,지켜주지 못해서 미안해,,
쪄죽따,Even if it's really hot a warm shower,쪄 죽어도 따뜻한 물로 샤워,,
경뿌,Spraying EXP,경험치 뿌리기,,
여소,set me up with women,여자 소개,,
전콘,National tour concert,전국투어콘서트,,
빼박,Be in an awkward position,빼도 박도 못한다,,
갑분띠, All of a sudden the mood is boing.,갑자기 분위기 띠용,,
부찌,Budae Jjigae,부대찌개,,
라인,Reinhardt,라인하르트,,
마빌,Meisterville,마이스터빌,,
사녹,pre-recording,사전녹화,,
톡디,Kakao Talk ID,카카오톡 아이디,,
따아,Hot americano,따뜻한 아메리카노,,
갑툭튀,Jumpscare,갑자기 툭 튀어나오다,,
현피,meet in reality not online and fight,현실에서 싸우는 것,,
종로에서 뺨 맞고 한강에 가서 눈 흘긴다,Why are you taking it out on me?,어떤 일을 당한 사람이 그 자리에서는 위세에 눌려 아무 말도 못하고 있다가 엉뚱한 곳에 가서 화풀이를 한다.,,
돋을볕,the heat,아침에 해가 솟아오를 때의 햇볕,,
주불,Give me your address.,주소 불러,,
처돌이,Crazy fan,한가지에 푹 빠진 마니아,,
박박,yikes,대박 대박,,
떠세,,힘 따위를 내세워 젠체하고 억지를 씀,,
메불메,polarizing,호불호,,
아오안,out of sight,아웃오브안중,,
소확횡,small but definite embezzlement,소소하지만 확실한 횡령,,
몽글다,,가루 따위가 미세하고 곱다.,,
싫존,Agree to disgree,싫어도 존중,,
반신,apply for informal speeh,반말모드 신청,,
N포세대,Ikea Generation,힘든 청년세대,,
​공자 앞에서 문자 쓴다,You’re teaching a fish how to fish.,지식이 부족한 사람이 가소롭게도 자기보다 유식한 사람 앞에서 아는 체함,,
안 땐 굴뚝에 어찌 연기가 나겠는가,There’s no smoke without fire.,근거도 없이 떠돌아다니는 비방일지라도 모두 원인이 있다.,,
카공족,People who study at cafes,카페에서 공부하는 사람들,,
네넴띤,Bibimmyeon,비빔면,,
월루,slacker,slacker,,
사딸라,Four dollars,4달러,,
덤터기,blame shift,억울한 누명,,
노빠꾸,savage,물러나지 않음,,
구취,Unsubscribe,구독취소,,
영끌,manage to pull everything together,영혼까지 끌어모음,,
이시국,in current situation?,이런 시국,,
빨대족,kangaroo tribe,부모의 경제적 도움에 기대어 살아가는 사람들,,
노루잠,,깊이 들지 못하고 자꾸 놀라 깨는 잠,,
고생 끝에 낙이 온다,No pain no gain,어려운 일이나 고된 일을 겪은 뒤에는 반드시 즐겁고 좋은 일이 생긴다.,,
청년실신,young unemployed and delinquent,청년 실업자 신용불량자,,
주전부리,snacks,심심풀이로 먹는 음식,,
국뽕,National pride,국가에 대한 자부심,,
곰살갑다,generous,상냥하고 부드럽다,,
펭하, Pengsoo hi;펭수 + 하이,펭수 하이,,
라떼는 말이야,When I was your age,나때는 말이야,,
흙수저,Born in a poor family,가난한 집안,,
NG족,No graduation callege student,졸업을 유예하는 사람들,,
ㄱ,Once in a blue moon,어쩌다 한 번,,
텅장,empty bankbook,통장 잔액이 텅텅 빈다,,
급식체,teenage,어린 학생 말투,,
금수저,Born into a wealthy family,부유한 집안,,
~각이다,be in a position to,~할 상황이다,,
낮 말은 새가 듣고 밤 말은 쥐가 듣는다,The hills have eyes and ears.,말을 조심해야 한다.,,
미먼,fine dust,미세먼지,,
흑역사,dark chapter,부끄럽거나 민망한 과거,,
고나리,backseat,이래라 저래라,,
손바닥도 마주쳐야 소리가 난다,It takes two to Tango.,한 손바닥만으로는 소리가 울리지 않는다.,,
귀잠,a deep sleep,아주 깊이 든 잠,,
자소설,fake cover letter,자기소개서 + 소설,,
호랑이도 제 말하면 오고 사람도 제 말하면 오는 법이다,speak of the devil,사람이 없는 곳에서 그 사람에 대해 함부로 말을 해서는 안 된다.,,
프로불편러,Social Justice warrior,매사에 불편해하는 사람들,,
코로나 블루,Corona Blue,코로나 19 + 우울감,,
코로나 레드,Corona Red,코로나 블루를 넘어선 상태,,
코로나 블랙,Corona Black,코로나19로 좌절·절망·암담함 등을 느끼는 심리적 상태,,
덕통사고,have a crush on something,갑자기 어떤 대상에 병적으로 집중하거나 집착하게 되는 것,,
이선좌,Seats already selected,이미 선택된 좌석,,
뉴진스의 하입보이요,NewJeans Hype boy,뉴진스의 하입보이요,,
킹아,so good,너무 좋아,,
ㄹㅇㅋㅋ,relly lol,진짜 ㅋㅋ,,
혼밥,eating alone,혼자 밥먹다,,
임티,emoticon,이모티콘,,
어쩔티비,Whatever!,어쩔건데,,
틀딱,boomer,노인,,
리퀘,request,요청대로 캐릭터를 그려주는 행위,,
~치,person with no sense of,무엇을 못 하는 사람,,
랜박,random box,랜덤박스,,
맵찔이,spice wimp,매운맛에 약한 사람,,
몰루,IDK,몰라,,
ㅇㅇㄴㅇ,Yeah~ you are wrong~,응아니야,,
니인살,Live your life,이제 니 인생 살아,,
fasatse,Rap money is cool,랩 머니 멋있는데,,
오뱅알,Today’s broadcast was substantial.,오늘 방송 알찼다,,
스카,study cafe,스터디카페,,
ㅊㅋㅍㅋ,Congratulations,축하해,,
리플,replay,리플레이,,
지옥철,a hell of a crowded subway,지옥같이 사람이 많은 지하철,,
잼민이,kido,초등학생,,
음방,music show,음악방송,,
갓생,that girl,부지런하고 훌륭한 인생,,
de,Where are you?,어디야?,,
ㅇㄹㄴ,like this,이러네?,,
ㅋㅋㄹㅃㅃ,lol,ㅋㅋㅋㅋㅋ,,
n트,nth try,n번 시도,,
모동숲,Animal Crossing,모여봐요 동물의 숲,,
웹소,a web novel,웹소설,,
슴폰,smartphone,스마트폰,,
폰압,Cell phone confiscation,휴대폰 압수,,
ㄱㄴ,possible,가능,,
컴싸,a computer marker,컴퓨터 사인펜,,
ㅁㄹ,Don't know,몰라,,
벨튀,Ding dong ditch,벨 누르고 튐,,
ㄱㅅ,Thanks,감사,,
ㄱㄷ,Wait,기다려,,
ㅃㄹ,QUICK,빨리,,
라방,Live show,라이브 방송,,
ㅇㄲㅂ,I almost made it.,아까비,,
미방,Prevent Preview,미리보기방지,,
드볼,collected all the photo cards,포토카드를 다 모음,,
분좋카,a cafe with a nice mood,분위기 좋은 카페,,
포카,Photo card,포토카드,,
ㅊㅋ,Congratulations,축하해,,
솔까,to be honest,솔직히,,
솔천컾지,"Single goes heaven, couple go to hell!",솔로천국 커플지옥,,
ㅈㅂ,please,제발,,
앨깡,album unboxing,앨범개봉,,
이벵,event,이벤트,,
팔테,Follow Terror,팔로우 테러,,
도방,prevention of spam,도배방지,,
이세돌,virtual Idol,이세계 아이돌,,
ㅅㅈㅅㄱ,declaration of existence,생존신고,,
넷상,the Internet world,인터넷상,,
에바,far fetched,무리수,,
겨땀,armpit sweat,겨드랑이 땀,,
ㄹㅇ,no cap,진짜,,
ㄹㅈㄷ,legend,레전드,,
옾사,open dictionary,오프사이드,,
ㅇㅋㄷㅋ,okey dokey,알았어,,
저쩔티비,Whatever!,어쩔건데,,
ㅎㅇ,Hi,하이,,
장고,joke confession,장난고백,,
ㅂㅇ,bye,바이,,
ㄴㅇㅅ,nice,나이스,,
좋튀,Press like and run away,좋아요 누르고 튀기,,
ㅎㅇㅂㅇ,hi bye,하이바이,,
ㅎㅌ,Cheer up!,파이팅,,
킹받네,I’m so mad,열받네,,
컨포,Concept photo,컨셉포토,,
솔크,Solo Christmas,혼자 보내는 크리스마스,,
집자,editor,편집자,,
개노맛,It tastes so bad.,너무 맛없다,,
반위,crisis of refutation,반박위기,,
ㅆㄹ,Sorry,쏘리,,
댓삭러,Who deleted the comment,댓글 삭제하는 사람,,
타스,Another streamer,다른 스트리머,,
좋즐찾 ,like and bookmark,좋아요와 즐겨찾기,,
공매 ,co-manager,공동매니저,,
ㅇㅎ,aha,Aha,,
ㅠㅠ ,:(,:(,,
내돈내산 ,I buy my own supply.,내 돈 주고 내가 샀다,,
ㅇㄴ ,"Oh, no","Oh, no",,
쌉고수 ,,완전 고수,,
베사 ,a best dictionary,베스트 사전,,
조삼모사 ,"Either way, it is the same","조금 모르면 3번을 고르고, 완전 모르면 4번을 고를거야",,
분조카 ,a cafe with a nice mood,분위기 좋은 카페,,
갈비 ,,갈수록 비호감,,
52려좋아,It's better,오히려 좋아,,
웃안웃 ,It's funny but not funny,웃긴데 안 웃겨,,
우심손까 ,Shall we hold hands since we're bored?,우리 심심한데 손이나 잡을까?,,
편리미엄 ,Convenience Premium,편리함이 프리미엄이다,,
아메추 ,Please recommend a breakfast menu,아침 메뉴 추천,,
좋댓구알 ,"Like, comments, and subscription notifications","좋아요, 댓글, 구독, 알림설정까지",,
자강두천 ,two proud geniuses,자존심이 강한 두 천재,,
겉바속촉 ,crispy on the outside and tender on the inside,겉은 바삭하고 속은 촉촉하다.,,
롬곡옾높 ,storm tears,많은 눈물,,
임구 ,Unsubscribe Already,이미 구독함,,
이왜진 ,For real?,이게 왜 진짜?,,
중꺾마 ,Impossible is nothing!,중요한 건 꺾이지 않는 마음,,
그잡채 ,the definition of ~,그 자체,,
돈쭐 ,buycott,"가게에 찾아가 물건, 음식 등을 많이 사주는 행위",,
너뭐돼 ,Who do you think you are?,너 뭐라도 돼?,,
무야호 ,MUYAHO~,매우 신나다.,,
오방공 ,Today's broadcast announcement,오늘 방송 공지.,,
흠좀무 ,"Hmm,,, Little bit scary, if that is the truth.","흠, 이게 사실이라면 좀 무섭군요.",,
오나전 ,totally,완전,,
오방알 ,Today’s broadcast was substantial.,오늘 방송 알찼다.,,
얀데레 ,yandere,"누군가를 지극히 사랑하고 그 대상에 대해 질투, 집착 등을 가지는 극단적인 행위",,
700,CUTE,귀여워,,
빼박캔트 ,Be in an awkward position.,부정할 수 없는 명백한 사실,,
문송하다 ,I'm sorry I'm a liberal arts student.,문과라서 죄송하다,,
돈쭐내다 ,buycott,"착한 일을 한 가게에 찾아가 물건, 음식 등을 많이 사주다",,
희연사 ,a rare celebrity photo,희귀 연예인 사진,,
츄베릅 ,gulp,Gulp,,
KG받네 ,I’m so pissed right now,매우 열 받네,,
억텐 ,unreasonable tension,억지 텐션,,
스불재 ,bringing disaster on myself,스스로 불러온 재앙,,
어사 ,an awkward relationship,어색한 사이,,
캥거루족 ,kangaroo tribe,취직을 할 나이가 됐거나 취업을 했음에도 부모에게 의존해서 사는 젊은 세대,,
네카라쿠배당토 ,Naver Kakao Line Coupang Delivery People Carrot Market Toss,"네이버, 카카오, 라인, 쿠팡, 배민, 당근마켓, 토스",,
킹G받네 ,I’m so pissed right now,매우 열 받네,,
농협은행 ,It's so pretty.,너무 예쁘네요,,
유하 ,Youtube Hi~,유튜브 하이,,
내봬누 ,See you tomorrow.,내일 봬요 누나,,
짜짜 ,really,진짜,,
실드관말 ,Let's not pay attention to the failed joke,실패한 드립에 관심을 주지 말자.,,
혼놀로그 ,take a vlog of oneself playing.,혼자 노는 모습을 브이로그 찍다.,,
ㄺㅎㅃ ,I was almost about to say this.,라고 할 뻔,,
워라밸 ,Work-Life Balance,일과 삶의 균형,,
당모치 ,"Of course, all chicken is right.",당연히 모든 치킨은 옳다.,,
ㅈㅂㅈㅇ ,Give me some information.,정보 좀요.,,
궁사물사 ,Who wants to know?,궁금한 사람? 물어본 사람?,,
월급루팡 ,slacker,회사에서 마땅히 하는 일 없이 월급만 받아가는 것,,
폼미쳤다 ,That's sick!,기량이 매우 뛰어나다,,
옥메와까 ,"Okdongja, Megaton Bar, Wild Body, Black Kuhn","옥동자, 메가톤바, 와일드바디, 까마쿤",,
인급동 ,Youtube Trending,인기 급상승 동영상,,
최최차차 ,"bias is bias, and Cha Eun-Woo is Cha Eun-Woo","최애는 최애고, 차은우는 차은우다.",,
다꾸 ,Decorate a Daiary,다이어리 꾸미기,,
식집사 ,a plant grower,식물을 키우는 사람,,
뇌꾸 ,Decorate a brain,공부하기,,
완내스 ,It's totally my style,완전 내 스타일,,
할말하않 ,bit my tongue,할 말은 많으나 하지 않겠다,,
모에모에큥 ,Moemoe kyung!,맛있어져라!,,
와꾸 ,face,얼굴,,
애니맘 ,Animal mom,동물을 보살피는 사람,,
상스치콤 ,Shanghai Spicy Chicken Burger Combo,상하이 스파이시 치킨버거 콤보,,
레게노 ,legend,레전드,,
머선129,What’s all the fuss about?,무슨 일이고?,,
동사나사 ,Friend love is country love,동기 사랑은 나라 사랑,,
오하운 ,Today's workout,오늘 하루 운동,,
억까 ,The world is against me.,억지로 비난하는 것,,
이생집망 ,Buying a house in this life is doomed.,이번 생에 집 사기는 망했다.,,
오방있 ,There's a show today,오늘 방송 있음,,
내또출 ,I have to go to work again tomorrow.,내일 또 출근이야.,,
힘숨찐 ,hide power nerd,힘을 숨기고 있는 nerd,,
카공 ,study at the cafe,카페에서 공부,,
무물 ,Ask me anything.,무엇이든 물어보세요,,
길막 ,block the way.,길을 막다,,
무물보 ,Ask me anything.,무엇이든 물어보세요,,
킹리적갓심 ,Reasonable doubt,합리적 의심,,
마기꾼 ,maskfish,"마스크를 썼을 땐 예쁘지만, 마스크를 벗으면 그렇지 아니한 사람",,
난죽택 ,I choose death.,무엇을 선택하기 난처하다,,
취업깡패 ,job thug,다른 학과보다 취업이 잘 되는 학과,,
MZ세대 ,gen g,1980년대 초 ~ 2000년대 초 출생한 밀레니얼 세대와 1990년대 중반 ~ 2000년대 초반 출생한 Z세대.,,
많관부 ,Thank you for your interest.,많은 관심 부탁드립니다.,,
군싹 ,My mouth is watering…,군침이 싹 도네,,
오다망 ,I messed up my diet today.,오늘 다이어트 망했다.,,
니궈 ,Your country,너희 나라.,,
말또서 ,Your country,말 또 서운하게 하네,,
꾸자사모 ,You makes me sad to say again.,꾸준히 자산을 사서 모으다.,,
오운완 ,I killed it!,오늘 운동 완료,,
꾸꾸꾸 ,peacocking,꾸며도 꾸질꾸질,,
까방권 ,,까임 방지권,,
쉽살재빙 ,It's not fun if you live easily. Bingo,쉽게만 살아가면 재미없어 빙고.,,
알빠임 ,That’s not my lookout.,내 알 바가 아님.,,
내로남불 ,double standard,Double standard,,
추미스 ,mystery thriller,추리 미스터리 스릴러,,
쌉가능 ,perfectly possible,무조건 가능,,
캘박 ,a stuffed calendar,달력에 저장해 잊지 않기,,
Whyrano ,What’s your problem?,왜이래,,
부바부 ,Team by team,부서 by 부서,,
믿거,,무조건 거름,,
킹받는다 ,I’m so pissed right now,엄청 열받는다.,,
비상이다 ,I'm gonna cry,눈물이 나올 것 같다,,
개이득 ,What a deal!,엄청난 이득,,
뜨아 ,Hot iced Americano,뜨거운 아메리카노,,
오히려 좋아 ,even better,안 좋은 것이어도 오히려 좋다,,
루삥뽕 ,cackle,웃거나 비웃다,,
뇌섹남 ,He is smart and witty.,뇌가 섹시한 남자,,
게하 ,guest house,게스트 하우스,,
호갱님 ,wishy-washy,Pushover,,
근자감 ,strange sense of confidence,근거 없는 자신감,,
개드립 ,homespun humor,터무니 없는 언행,,
ㄹㄱㅎㅃ ,I almost said ~,라고할뻔 하다,,
중꺽마 ,Impossible is nothing!,중요한 것은 꺽이지 않는 마음,,
모에모에쿵 ,Moemoe kyung!,맛있어져라,,
드가자 ,Let's get it started.,시작하자,,
ㅇ ㅇㄴㅇ ,Yeah~ you are wrong~,응 아니야,,
껒 ,fuck off.,꺼져,,
치느님 ,chicken is always right.,치킨,,
먹방 ,Mukbang,먹는 방송,,
뉴진스 하입보이 ,NewJeans Hype boy,나는 버니즈,,
H워얼V ,I love you.,사랑해,,
입덕 ,crush,팬이되다,,
엄카 ,Mom’s card,엄마카드,,
신박하다,very fascinating,새롭고 놀랍다.,,
하남자,omega male,남자 답지않은 모습을 가지고 있는 남자,,
상남자,alpha male,남자 다운 모습을 가지고 있는 남자,,
특,feature,특징,,
항마력,cringy,손발이 오그라들어 계속 보고 있기에 불편한 것들을 참고 버티며 볼 수 있는 평정심.,,
마해자,mask victim,마스크가 미모를 가려 피해를 입는 사람,,
손민수,copycat,Copy,,
중꺾그마,Impossible is nothing!,중요한 것은 꺾여도 그냥 하는 마음,,
진순파,stan Jin Ramen Mild,진라면 순한맛을 좋아하는 사람,,
스껄,Skrr,추임새,,
인방,Internet broadcasting,인터넷 방송,,
홈트,home training,집에서 운동,,
꼰대,boomer,기성세대,,
찢었다,slay,Slayed,,
잠수,ghosting,연락이 되지않는 상태,,
눈뽕,dazzle,심하게 눈이 부심,,
꼽사리,third wheel,끼어들다,,
넌씨눈,didn’t pass the vibe check,눈치가 없다.,,
흑우,simp,Pushover,,
혼영,movie alone,혼자 영화보다,,
혼술,drink alone,혼자 술마시다,,
호불호,polarizing,좋거나 나쁨,,
덤테기,blame shift,Get ripped off,,
덤탱이,blame shift,Get ripped off,,
복금,no copying,복사 금지,,
헤메코,Hair and makeup styling,헤어 메이크업 코디,,
솔지컾천 ,"Couple goes heaven, Single go to hell!!",솔로는 천국에가고 커플은 지옥에 간다.,,
앨범깡,album unboxing,앨범 개봉,,
역지사지,Put yourself in my shoes.,Put yourself in my shoes.,,
일석이조,Kill two birds with one stone.,Kill two birds with one stone.,,
새옹지마,"In Life, There are Ups and Downs","In Life, There are Ups and Downs",,
설상가상,"When it rains, it pours","When it rains, it pours",,
공좋카,cafe to study,공부하기 좋은 카페,,
넷파,Netflix party,넷플릭스 계정 같이 쓰는 것.,,
조진다,BEAST MODE,호되게 때리다.,,
셀기꾼,catfish,셀카 잘찍는 사람,,
쩝쩝박사,,맛있게 먹는 법을 아는 사람,,
솔탈,,커플이되는것,,
머머리,,대머리,,
모쏠,,모태솔로,,
칼퇴,,퇴근시간되면 정확하게 퇴근,,
팟,,Party game,,
쌍수,,쌍커풀 수술,,
에타,,에브리타임 어플,,
컴활,,컴퓨터 활용 능력 시험,,
네페,,네이버 페이,,
안꾸,,안꾸밈,,
진매파,,진라면 매운맛을 좋아하는 사람,,
연차,,유급 휴가,,
폰팔이,,휴대폰 파는 사람,,
공시,,공무원 시험,,
공구,,공동 구매,,
아아,,아이스 아메리카노,,
돼지런,,먹을 때만 부지런,,
비담,,비주얼 담당,,
저렴이,,저렴한 제품,,
고렴이,,비싼 제품,,
트민남,,트렌드에 민감한 남자,,
돈미새,,돈에 미친 사람,,
키보드워리어,,온라인 상에서만 활발한 사람,,
올공,,올림픽 공원,,
추구미,,내가 추구하는 스타일,,
리즈시절,,전성기 시절,,
짠내폭팔,,몹시 가여움,,
공능제,,공감 능력 제로,,
정뚝떨,,정이 뚝 떨어진다,,
니트족,,일 하지 않고 일 할 의지도 없는 청년 세대,,
주린이,,주식 초보,,
뉴비,,초보,,
서순,,순서,,
능지,,지능,,
빤스런,,도망,,
자뻑,,자아도취,,
디토한다,,동의한다,,
kijul,,기절,,
꾸웨액,,후회해,,
잼얘,,재미있는 이야기,,
뉴런공유,,텔레파시가 통함,,
팃팅,,티켓팅,,